Product,Brand,Category,Style,Quantity,Quantity Units,Volume,Package,ABV,Units of Alcohol
Thatchers Stan's Trad,Thatchers,Cider,,1,pint,568,draught,6.0,3.4
The Cotswold Cider Co BlowHorn,The Cotswold Cider Co,Cider,,330,ml,330,bottle,4.0,1.3
The Cotswold Cider Co No Brainer,The Cotswold Cider Co,Cider,,330,ml,330,bottle,4.8,1.6
The Cotswold Cider Co Side Burns,The Cotswold Cider Co,Cider,,330,ml,330,bottle,5.4,1.8
The Cotswold Cider Co Sweet Cheeks,The Cotswold Cider Co,Cider,Fruit Cider,330,ml,330,bottle,4.0,1.3
The Other Side of the Blond,Vic Ale,Beer,Blonde Ale,330,ml,330,bottle,5.0,1.7
Theakstons Best Bitter,Theakstons,Beer,Bitter,1,pint,568,draught,3.8,2.2
Thistly Cross Cider,Thistly Cross Cider,Cider,,500,ml,500,bottle,6.2,3.1
Thistly Cross Ginger,Thistly Cross Cider,Cider,,330,ml,330,bottle,4.0,1.3
Thistly Cross Real Elderflower Cider,Thistly Cross Cider,Cider,,330,ml,330,bottle,4.0,1.3
Thistly Cross Real Strawberry Cider,Thistly Cross Cider,Cider,Fruit Cider,330,ml,330,bottle,4.0,1.3
Thistly Cross Traditional Cider,Thistly Cross Cider,Cider,,500,ml,500,bottle,4.4,2.2
Thistly Cross Traditional Cider,Thistly Cross Cider,Cider,,1,pint,568,draught,4.4,2.5
Thistly Cross Whisky Cask Cider,Thistly Cross Cider,Cider,,500,ml,500,bottle,6.9,3.5
Thornbridge AM:PM,Thornbridge,Beer,IPA,330,ml,330,bottle,4.5,1.5
Thornbridge AM:PM,Thornbridge,Beer,IPA,1,pint,568,draught,4.5,2.6
Thornbridge Jaipur,Thornbridge,Beer,IPA,330,ml,330,bottle,5.9,1.9
Thornbridge Lukas Helles Lager,Thornbridge,Beer,Lager,330,ml,330,bottle,4.2,1.4
Thornbridge Lukas Helles Lager,Thornbridge,Beer,Lager,1,pint,568,draught,4.2,2.4
Thornbridge Tart Bakewell Sour,Thornbridge,Beer,Sour Beer,330,ml,330,bottle,6.0,2.0
Tiger,Tiger,Beer,Lager,330,ml,330,bottle,4.8,1.6
Tiger,Tiger,Beer,Lager,1,pint,568,draught,4.8,2.7
Timmermans Peche,Timmermans,Beer,Fruit Beer,330,ml,330,bottle,4.0,1.3
Timothy Taylor's Boltmaker,Timothy Taylor's,Beer,Bitter,1,pint,568,draught,4.0,2.3
Timothy Taylor's Landlord,Timothy Taylor's,Beer,Beer,1,pint,568,draught,4.3,2.4
Tiny Rebel Beatbox,Tiny Rebel,Beer,Pale Ale,330,ml,330,bottle,4.5,1.5
Tiny Rebel Bo'Ho,Tiny Rebel,Beer,Lager,330,ml,330,bottle,5.0,1.7
Tiny Rebel Cali,Tiny Rebel,Beer,Pale Ale,330,ml,330,can,5.6,1.8
Tiny Rebel Clwb Tropicana,Tiny Rebel,Beer,IPA,330,ml,330,can,5.5,1.8
Tiny Rebel Clwb Tropicana,Tiny Rebel,Beer,IPA,1,pint,568,draught,5.5,3.1
Tiny Rebel Cwtch,Tiny Rebel,Beer,Red Ale,330,ml,330,bottle,4.6,1.5
Tiny Rebel Cwtch,Tiny Rebel,Beer,Red Ale,330,ml,330,can,4.6,1.5
Tiny Rebel Cwtch,Tiny Rebel,Beer,Red Ale,1,pint,568,draught,4.6,2.6
Tiny Rebel Dirty Stop Out,Tiny Rebel,Beer,Stout,330,ml,330,bottle,4.6,1.5
Tiny Rebel Dutty,Tiny Rebel,Beer,IPA,330,ml,330,can,4.2,1.4
Tiny Rebel Dutty,Tiny Rebel,Beer,IPA,1,pint,568,draught,4.2,2.4
Tiny Rebel Frambuzi,Tiny Rebel,Beer,Sour Beer,330,ml,330,can,4.3,1.4
Tiny Rebel Fubar,Tiny Rebel,Beer,Pale Ale,330,ml,330,bottle,4.4,1.5
Tiny Rebel Stay Puft,Tiny Rebel,Beer,Porter,330,ml,330,can,5.2,1.7
Toast Purebread Pale Ale,Toast,Beer,Pale Ale,330,ml,330,bottle,5.0,1.7
Tribute,St Austell,Beer,Beer,1,pint,568,draught,4.2,2.4
Tsingtao,Tsingtao,Beer,Lager,330,ml,330,bottle,4.7,1.6
Tuborg,Tuborg,Beer,Lager,1,pint,568,draught,4.0,2.3
Two Fingers Aurelio,Two Fingers,Beer,Golden Ale,330,ml,330,bottle,4.8,1.6
Two Tribes Material World American Pale Ale,Two Tribes,Beer,Pale Ale,330,ml,330,can,5.5,1.8
Two Tribes New Romantic Passion Fruit Gose,Two Tribes,Beer,Gose,330,ml,330,can,3.6,1.2
Two Tribes Non Stop Hits Modern Lager,Two Tribes,Beer,Lager,330,ml,330,can,5.0,1.7
Tyskie Gronie,Tyskie,Beer,Lager,500,ml,500,bottle,5.0,2.5
Union,Butcombe,Beer,Ale,1,pint,568,draught,4.8,2.7
Vedett Blond,Vedett,Beer,Lager,330,ml,330,bottle,5.0,1.7
Vedett Blond,Vedett,Beer,Lager,330,ml,330,can,5.2,1.7
Vedett Extra Blonde,Vedett,Beer,Lager,1,pint,568,draught,5.0,2.8
Vedett Extra Ordinary IPA,Vedett,Beer,IPA,1,pint,568,draught,5.5,3.1
Vedett Extra White,Vedett,Beer,Wheat Beer,330,ml,330,bottle,4.7,1.6
Vedett Extra White,Vedett,Beer,Wheat Beer,1,pint,568,draught,4.7,2.7
Vedett IPA,Vedett,Beer,IPA,330,ml,330,bottle,5.5,1.8
Vedett IPA,Vedett,Beer,IPA,330,ml,330,can,5.5,1.8
Vedett Session IPA,Vedett,Beer,IPA,330,ml,330,bottle,2.7,0.9
Vic Ale Mumbai IPA,Vic Ale,Beer,IPA,330,ml,330,bottle,6.2,2.0
Waddlegoose Cyder,Waddlegoose,Cider,,500,ml,500,bottle,4.6,2.3
Waddlegoose Cyder,Waddlegoose,Cider,,1,pint,568,draught,4.6,2.6
Waddlegoose Three Berry,Waddlegoose,Cider,Fruit Cider,500,ml,500,bottle,3.8,1.9
Waddlegoose Three Berry,Waddlegoose,Cider,Fruit Cider,1,pint,568,draught,3.8,2.2
Wadworth 6X,Wadworth,Beer,Amber Ale,500,ml,500,bottle,4.3,2.2
Wadworth 6X,Wadworth,Beer,Amber Ale,1,pint,568,draught,4.1,2.3
Wadworth 6X Gold,Wadworth,Beer,Golden Ale,500,ml,500,bottle,4.5,2.3
Wadworth Big Baubles,Wadworth,Beer,Pale Ale,1,pint,568,draught,4.9,2.8
Wadworth Bishops Tipple,Wadworth,Beer,Ale,500,ml,500,bottle,5.0,2.5
Wadworth Bishops Tipple,Wadworth,Beer,Ale,1,pint,568,draught,5.0,2.8
Wadworth Brewer's Strength IPA,Wadworth,Beer,IPA,1,pint,568,draught,6.2,3.5
Wadworth Carrier,Wadworth,Beer,Pale Ale,500,ml,500,bottle,3.6,1.8
Wadworth Cooper's Vice,Wadworth,Beer,Red Ale,1,pint,568,draught,5.0,2.8
Wadworth Corvus,Wadworth,Beer,Stout,1,pint,568,draught,4.1,2.3
Wadworth Dray Bells,Wadworth,Beer,Amber Ale,1,pint,568,draught,4.1,2.3
Wadworth Farmers Glory,Wadworth,Beer,Ale,1,pint,568,draught,4.4,2.5
Wadworth Game of Stones,Wadworth,Beer,Golden Ale,1,pint,568,draught,3.8,2.2
Wadworth Horizon,Wadworth,Beer,Golden Ale,500,ml,500,bottle,4.0,2.0
Wadworth Horizon,Wadworth,Beer,Golden Ale,1,pint,568,draught,4.0,2.3
Wadworth IPA,Wadworth,Beer,IPA,500,ml,500,bottle,3.6,1.8
Wadworth IPA,Wadworth,Beer,IPA,1,pint,568,draught,3.6,2.0
Wadworth Swordfish,Wadworth,Beer,Ale,500,ml,500,bottle,4.3,2.2
Wadworth Swordfish,Wadworth,Beer,Ale,1,pint,568,draught,5.0,2.8
Wadworth Treacle Treat,Wadworth,Beer,Dark Ale,1,pint,568,draught,4.2,2.4
Wadworths Dirty Rucker,Wadworth,Beer,Ale,1,pint,568,draught,3.9,2.2
Wadworths Studs Up,Wadworth,Beer,Pale Ale,1,pint,568,draught,4.0,2.3
Wainwright,Wainwright,Beer,Beer,1,pint,568,draught,4.1,2.3
Warsteiner,Warsteiner,Beer,Lager,1,pint,568,draught,4.8,2.7
Westons Caple Rd Blend No 3 Cider,Westons,Cider,,330,ml,330,can,5.2,1.7
Westons Caple Rd Blend No 3 Cider,Westons,Cider,,1,pint,568,draught,5.2,3.0
Westons Mortimers Orchard Cider,Westons,Cider,,1,pint,568,draught,5.0,2.8
Westons Mortimers Orchard English Berry,Westons,Cider,Fruit Cider,1,pint,568,draught,4.0,2.3
Westons Old Rosie,Westons,Cider,,1,pint,568,draught,7.3,4.1
Westons Rosie's Pig,Westons,Cider,,1,pint,568,draught,4.8,2.7
Westons Rosie's Pig Flat Tyre,Westons,Cider,Fruit Cider,330,ml,330,can,4.0,1.3
Westons Rosie's Pig Flat Tyre,Westons,Cider,Fruit Cider,1,pint,568,draught,4.0,2.3
Westons Rosie's Pig Handbrake,Westons,Cider,Fruit Cider,330,ml,330,can,4.0,1.3
Westons Rosie's Pig Handbrake,Westons,Cider,Fruit Cider,1,pint,568,draught,4.0,2.3
Westons Wyld Wood Organic Cider,Westons,Cider,,500,ml,500,bottle,6.0,3.0
Westons Wyld Wood Organic Cider,Westons,Cider,,1,pint,568,draught,6.0,3.4
Whipstitch Festival Apple Cider,Whipstitch,Cider,,330,ml,330,can,4.7,1.6
Whipstitch Festival Apple Cider,Whipstitch,Cider,,1,pint,568,draught,4.7,2.7
Whipstitch Festival Dark Fruits Cider,Whipstitch,Cider,Fruit Cider,330,ml,330,bottle,4.7,1.6
Whitbread Best Bitter,Whitbread,Beer,Bitter,1,pint,568,draught,3.3,1.9
Wild Beer Bibble,The Wild Beer Co,Beer,Pale Ale,330,ml,330,can,4.2,1.4
Wild Beer Fresh,The Wild Beer Co,Beer,Ale,330,ml,330,can,5.5,1.8
Wild Beer Madness IPA,The Wild Beer Co,Beer,IPA,330,ml,330,can,6.8,2.2
Wild Beer Millionaire,The Wild Beer Co,Beer,Stout,330,ml,330,bottle,4.7,1.6
Wild Beer Nebula Hazy IPA,The Wild Beer Co,Beer,IPA,330,ml,330,can,5.0,1.7
Wild Beer Pogo,The Wild Beer Co,Beer,Pale Ale,330,ml,330,can,4.0,1.3
Wild Beer Sleeping Lemons,The Wild Beer Co,Beer,Gose,330,ml,330,bottle,3.6,1.2
Wild Beer Sleeping Limes,The Wild Beer Co,Beer,Gose,330,ml,330,can,4.6,1.5
Wild Beer Yokai,The Wild Beer Co,Beer,IPA,330,ml,330,can,5.0,1.7
Wild River,Fuller's,Beer,Pale Ale,330,ml,330,can,4.5,1.5
Wild River,Fuller's,Beer,Pale Ale,1,pint,568,draught,4.5,2.6
Woodpecker Cider,Woodpecker,Cider,,275,ml,275,bottle,3.5,1.0
Worthington Creamflow,Worthington,Beer,Bitter,1,pint,568,draught,3.6,2.0
Wychwood Hoppleganger,Wychwood,Beer,Blonde Ale,1,pint,568,draught,4.4,2.5
Wylam Club of Slaughters,Wylam,Beer,Stout,330,ml,330,bottle,8.8,2.9
Wylam Haxan,Wylam,Beer,Wheat Beer,330,ml,330,bottle,6.2,2.0
Wylam Hickey the Rake,Wylam,Beer,Pale Ale,330,ml,330,bottle,4.2,1.4
Wylam Jakehead IPA,Wylam,Beer,IPA,330,ml,330,bottle,6.3,2.1
Wylam Le Sasionnier,Wylam,Beer,Saison,330,ml,330,bottle,5.4,1.8
Wylam Remain in Light,Wylam,Beer,Pale Ale,330,ml,330,bottle,5.0,1.7
Yeastie Boys Bigmouth,Yeastie Boys,Beer,IPA,330,ml,330,can,4.4,1.5
Yeastie Boys Digital IPA,Yeastie Boys,Beer,IPA,330,ml,330,can,5.7,1.9
Yeastie Boys Gunnamatta,Yeastie Boys,Beer,IPA,330,ml,330,can,6.5,2.1
Yeastie Boys Pot Kettle Black,Yeastie Boys,Beer,Porter,330,ml,330,can,6.0,2.0
Yeastie Boys White Noise,Yeastie Boys,Beer,Wheat Beer,330,ml,330,can,4.4,1.5
Young's Bitter,Young's,Beer,Bitter,1,pint,568,draught,3.7,2.1
Young's London Stout,Young's,Beer,Stout,1,pint,568,draught,4.3,2.4
Zeffer Hopped Infused Cider,Zeffer,Cider,,330,ml,330,bottle,5.4,1.8
Zywiec,Zywiec,Beer,Lager,500,ml,500,bottle,5.6,2.8
